set,repo,path,method,operationId,gt_class,resolved,security_present,security_scheme_count,security_scopes,doc_top_level_security,doc_oauth2_flows_with_scopes,doc_security_scheme_external_ref,requestBody_present,requestBody_media_type,requestBody_props,requestBody_party_money,status_codes,has200,has201,has202,has204,callbacks_present,doc_has_webhooks,desc_mentions_callback,idempotency_header_param,party_id_param,x_extension_keys,has_operationId,has_summary,has_description,resource_schema_found,resource_schema_from,resource_schema_props,resource_schema_party_field
camara,DeviceAuthenticity,/check-status,POST,checkImeiStatus,r,true,true,1,device-authenticity:check-status,false,false,false,true,application/json,imei,false,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DeviceDataVolume,/subscriptions,POST,createDeviceDataVolumeSubscription,x,true,true,1,device-data-volume-subscriptions:org.camaraproject.device-data-volume-subscriptions.v0.data-50-percent-remaining:create|device-data-volume-subscriptions:org.camaraproject.device-data-volume-subscriptions.v0.data-25-percent-remaining:create|device-data-volume-subscriptions:org.camaraproject.device-data-volume-subscriptions.v0.data-10-percent-remaining:create|device-data-volume-subscriptions:org.camaraproject.device-data-volume-subscriptions.v0.data-00-percent-remaining:create,false,false,true,true,application/json,protocol|sink|sinkCredential|types|config,true,201|202|400|401|403|409|422|429,false,true,true,false,true,false,false,false,false,,true,true,true,true,/subscriptions,subscriptions|pagination,false
camara,DeviceDataVolume,/subscriptions,GET,retrieveDeviceDataVolumeSubscriptionList,r,true,true,1,device-data-volume-subscriptions:read,false,false,true,false,,,false,200|400|401|403,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions,subscriptions|pagination,false
camara,DeviceDataVolume,/subscriptions/{subscriptionId},GET,retrieveDeviceDataVolumeSubscription,r,true,true,1,device-data-volume-subscriptions:read,false,false,true,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions/{subscriptionId},protocol|sink|sinkCredential|types|config|id|startsAt|expiresAt|status,true
camara,DeviceDataVolume,/subscriptions/{subscriptionId},DELETE,deleteDeviceDataVolumeSubscription,w,true,true,1,device-data-volume-subscriptions:delete,false,false,true,false,,,false,202|204|400|401|403|404,false,false,true,true,false,false,true,false,false,,true,true,true,true,/subscriptions/{subscriptionId},protocol|sink|sinkCredential|types|config|id|startsAt|expiresAt|status,true
camara,DeviceDataVolume,/retrieve,POST,retrieveDataVolume,r,true,true,1,device-data-volume:read,false,false,true,true,application/json,device,false,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DeviceDataVolume,/check,POST,checkDataVolume,r,true,true,1,device-data-volume:read,false,false,true,true,application/json,device|dataAllowanceThreshold,false,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DeviceIdentifier,/retrieve-identifier,POST,retrieveIdentifier,r,true,true,1,device-identifier:retrieve-identifier,false,false,true,true,application/json,device,false,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DeviceIdentifier,/retrieve-type,POST,retrieveType,r,true,true,1,device-identifier:retrieve-type,false,false,true,true,application/json,device,false,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DeviceIdentifier,/retrieve-ppid,POST,retrievePpid,r,true,true,1,device-identifier:retrieve-ppid,false,false,true,true,application/json,device,false,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DeviceIdentifier,/match-identifier,POST,matchIdentifier,r,true,true,1,device-identifier:match-identifier,false,false,true,true,application/json,device|imeisv|imei|tac,false,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
