set,repo,method,path,operationId,gt_class,pred,rule,evidence,summary
camara,MultiPointVPN,GET,/networks/{serviceId},getNetwork,r,r,locked,,retrieve multipoint virtual private network details
camara,MultiPointVPN,DELETE,/networks/{serviceId},deleteNetwork,w,x,party-noun,summary:network,Delete multipoint virtual private network
camara,MultiPointVPN,POST,/assessment,assessConnectionFeasibility,r,r,read-verb,opid:assess,Assess Multipoint VPN connection feasibility
camara,NetworkAccessManagement,GET,/network-access-devices,getNetworkAccessDevices,r,r,locked,,Get all Network Access Devices associated with the service owner
camara,NetworkAccessManagement,GET,/network-access-devices/{networkAccessDeviceId},getNetworkAccessDevice,r,r,locked,,Get a specific Network Access Device
camara,NetworkAccessManagement,POST,/reboot-requests,createRebootRequest,x,x,live-verb,opid:reboot,Create a new Reboot Request
camara,NetworkAccessManagement,GET,/reboot-requests,getRebootRequests,r,r,locked,,Get all Reboot Requests created by the calling API client
camara,NetworkAccessManagement,GET,/reboot-requests/{rebootRequestId},getRebootRequest,r,r,locked,,Get a specific Reboot Request
camara,NetworkAccessManagement,PATCH,/reboot-requests/{rebootRequestId},updateRebootRequest,x,x,live-verb,opid:reboot,Update an existing Reboot Request
camara,NetworkAccessManagement,DELETE,/reboot-requests/{rebootRequestId},deleteRebootRequest,w,x,live-verb,opid:reboot,Delete an existing Reboot Request
camara,NetworkAccessManagement,GET,/services,getServices,r,r,locked,,Get all services accessible to the authenticated identity
camara,NetworkAccessManagement,GET,/services/{serviceId},getService,r,r,locked,,Get a service by ID
camara,NetworkAccessManagement,GET,/trust-domains/capabilities,getTrustDomainCapabilities,r,r,locked,,Get Trust Domain capabilities
camara,NetworkAccessManagement,POST,/trust-domains,createTrustDomain,w,x,floor,,Create a new Trust Domain
camara,NetworkAccessManagement,GET,/trust-domains,getTrustDomains,r,r,locked,,Retrieves all Trust Domains visible to the calling API client
camara,NetworkAccessManagement,GET,/trust-domains/{trustDomainId},getTrustDomain,r,r,locked,,Get a specific Trust Domain
camara,NetworkAccessManagement,PATCH,/trust-domains/{trustDomainId},updateTrustDomain,w,x,floor,,Update a specific Trust Domain
camara,NetworkAccessManagement,DELETE,/trust-domains/{trustDomainId},deleteTrustDomain,w,w,floor,,Delete a specific Trust Domain
camara,NetworkAccessManagement,POST,/trust-domains/{trustDomainId}/devices,createTrustDomainDevice,x,x,floor,,Register a new device to a Trust Domain
