set,repo,method,path,operationId,gt_class,pred_v1,rule_v1,evidence_v1,pred_V3a,pred_V3b,pred_V3c,pred_V4,pred_V5,pred_V6a,pred_V6b,pred_V7,pred_V8
camara,IoTSIMFraudPrevention,GET,/subscriptions/{subscriptionId},getSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,IoTSIMFraudPrevention,DELETE,/subscriptions/{subscriptionId},deleteSubscription,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,IoTSIMFraudPrevention,POST,/bind,bindDeviceImei,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,IoTSIMFraudPrevention,POST,/unbind,unBindDeviceImei,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,IoTSIMFraudPrevention,POST,/query,query,r,r,read-verb,opid:query,r,r,r,r,r,r,r,r,r
camara,KnowYourCustomer,POST,/verify,verifyAge,r,r,read-verb,opid:verify,r,r,r,r,r,r,r,r,r
camara,KnowYourCustomer,POST,/fill-in,KYC_Fill-in,r,x,floor,,x,x,x,x,x,x,x,x,x
camara,KnowYourCustomer,POST,/match,KYC_Match,r,x,floor,,x,x,x,x,x,x,x,x,x
camara,KnowYourCustomerAgeVerification,POST,/verify,verifyAge,r,r,read-verb,opid:verify,r,r,r,r,r,r,r,r,r
camara,KnowYourCustomerFill-in,POST,/fill-in,kycFillin,r,x,floor,,x,x,x,x,x,x,x,x,x
camara,KnowYourCustomerMatch,POST,/match,kycMatch,r,x,floor,,x,x,x,x,x,x,x,x,x
camara,ModelAsAService,POST,/knowledge-bases,createKnowledgeBase,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,ModelAsAService,GET,/knowledge-bases,listKnowledgeBases,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ModelAsAService,GET,/knowledge-bases/{knowledgeBaseId},getKnowledgeBase,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ModelAsAService,PUT,/knowledge-bases/{knowledgeBaseId},updateKnowledgeBase,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ModelAsAService,DELETE,/knowledge-bases/{knowledgeBaseId},deleteKnowledgeBase,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ModelAsAService,POST,/knowledge-bases/{knowledgeBaseId}/documents,uploadDocument,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,ModelAsAService,GET,/knowledge-bases/{knowledgeBaseId}/documents/{documentId},getDocument,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ModelAsAService,DELETE,/knowledge-bases/{knowledgeBaseId}/documents/{documentId},deleteDocument,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ModelAsAService,POST,/knowledge-bases/{knowledgeBaseId}/tools,createTool,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,ModelAsAService,GET,/knowledge-bases/{knowledgeBaseId}/tools,listTools,r,r,floor,,r,r,r,r,r,r,r,r,r
